param_group,tested_param,tested_value,LND,PDR,Avg_E2E_Delay_Sec
reclustering,recluster_period,10.0,4068,0.9993147555961627,14.242857142857144
reclustering,recluster_period,20.0,3380,0.9984100776615912,10.798064555644025
reclustering,recluster_period,30.0,2388,0.9991220919295165,9.593296930898136
reclustering,recluster_period,50.0,8956,0.9988890946121088,6.645041705282669
reclustering,recluster_period,75.0,15160,0.9984408132717975,5.231432319320382
reclustering,recluster_period,100.0,1405,0.9987023419637892,8.885038980324216
reclustering,energy_threshold,0.1,8956,0.9988890946121088,6.645041705282669
reclustering,energy_threshold,0.2,8956,0.9988890946121088,6.645041705282669
reclustering,energy_threshold,0.3,8956,0.9988890946121088,6.645041705282669
reclustering,energy_threshold,0.4,8956,0.9988890946121088,6.645041705282669
reclustering,energy_threshold,0.5,7373,0.9987360818537466,8.165602024828251
reclustering,load_threshold,5.0,1819,0.9984057393383818,12.015968063872256
reclustering,load_threshold,10.0,8956,0.9988890946121088,6.645041705282669
reclustering,load_threshold,15.0,3539,0.9990650127781587,3.9181432493137014
reclustering,load_threshold,20.0,3539,0.9990650127781587,3.9181432493137014
reclustering,load_threshold,25.0,3539,0.9990650127781587,3.9181432493137014
reclustering,sink_move_threshold,10.0,8956,0.9988890946121088,6.645041705282669
reclustering,sink_move_threshold,15.0,8956,0.9988890946121088,6.645041705282669
reclustering,sink_move_threshold,20.0,8956,0.9988890946121088,6.645041705282669
reclustering,sink_move_threshold,25.0,8956,0.9988890946121088,6.645041705282669
reclustering,sink_move_threshold,30.0,8956,0.9988890946121088,6.645041705282669
