param_group,weight_distance,weight_energy,weight_load,weight_trust,LND,PDR,Avg_E2E_Delay_Sec
routing,0.4,0.3,0.15,0.15,4566,0.9987092610519522,6.949919224555735
routing,0.4,0.4,0.05,0.15,3099,0.9993501506468955,6.10073303381414
routing,0.4,0.4,0.1,0.1,9471,0.9985323208474252,7.767765848670756
routing,0.4,0.4,0.15,0.05,3671,0.9994355597365946,10.513930722891567
routing,0.5,0.2,0.15,0.15,16031,0.9986517719568567,14.901960784313726
routing,0.5,0.3,0.05,0.15,4481,0.9989945587887391,9.617547806524184
routing,0.5,0.3,0.1,0.1,8956,0.9988890946121088,6.645041705282669
routing,0.5,0.3,0.15,0.05,11044,0.9986489963973237,6.500032210268633
routing,0.5,0.4,0.05,0.05,6854,0.9984341726168108,7.665767517721599
routing,0.6,0.2,0.05,0.15,8648,0.9987610619469026,9.749542205682557
routing,0.6,0.2,0.1,0.1,5656,0.9979633401221996,10.228818800247371
routing,0.6,0.2,0.15,0.05,2969,0.9979786124152321,7.83077425677883
routing,0.6,0.3,0.05,0.05,8787,0.9984503516509715,9.198901623686725
